+----------------------------------+-------------+-----------------+
|            Algorithm             | Precision@5 |      NDCG@5     |
|   /(exp(#20()),*(#38(),#38()))   |    0.128    | 0.0813651621723 |
|  /(+(1(),#38()),+(#38(),#22()))  |     0.12    | 0.0813909863313 |
| /(/(#36(),#22()),+(#38(),#22())) |    0.104    | 0.0814234673482 |
| /(+(#20(),#20()),+(#20(),#22())) |    0.112    | 0.0814510818355 |
|   *(/(1(),#38()),/(1(),#22()))   |     0.12    |  0.081527454931 |
| /(/(#20(),#22()),*(#38(),#22())) |     0.12    | 0.0815470503429 |
| /(/(#22(),#22()),+(#20(),#22())) |    0.128    | 0.0816447977748 |
| /(+(#22(),#22()),*(#38(),#22())) |    0.128    | 0.0817376293506 |
|  /(+(1(),#36()),*(#38(),#22()))  |    0.128    | 0.0818122814203 |
| /(+(#36(),#36()),*(#36(),#38())) |     0.12    | 0.0818242995731 |
| /(+(#20(),#20()),*(#38(),#38())) |     0.12    | 0.0818269495724 |
|  /(+(1(),#36()),+(#36(),#38()))  |    0.128    | 0.0818936084672 |
| /(/(#20(),#38()),*(#36(),#22())) |     0.12    | 0.0820176073777 |
|   /(/(#20(),#22()),log(#36()))   |    0.104    | 0.0820260406852 |
|  /(/(#36(),#20()),sqrt(#38()))   |     0.12    | 0.0821695501125 |
|   /(/(#20(),#22()),exp(#20()))   |    0.096    | 0.0822619362494 |
|   /(/(1(),#22()),sqrt(#38()))    |     0.12    | 0.0823060187122 |
| +(/(#36(),#38()),/(#20(),#36())) |    0.112    | 0.0824678160527 |
|   /(exp(#36()),*(#38(),#22()))   |    0.128    | 0.0825908452015 |
|  /(+(1(),#20()),+(#36(),#38()))  |    0.128    | 0.0826721722484 |
|   +(/(1(),#20()),/(1(),#38()))   |     0.12    | 0.0828587997694 |
|  /(+(1(),#20()),*(#38(),#38()))  |    0.136    | 0.0829774555043 |
|   /(log(#38()),*(#38(),#22()))   |    0.128    | 0.0831041779053 |
| +(/(#20(),#38()),/(#38(),#22())) |    0.112    | 0.0831295066461 |
|  +(/(1(),#36()),/(#20(),#22()))  |     0.12    | 0.0831387777964 |
|  /(/(#20(),#22()),+(1(),#20()))  |    0.104    | 0.0831534459485 |
|  /(/(1(),#36()),/(#38(),#20()))  |    0.128    | 0.0832282010327 |
| /(/(#20(),#36()),+(#20(),#38())) |    0.128    | 0.0832957273797 |
| /(+(#20(),#20()),*(#22(),#22())) |    0.112    | 0.0835858182469 |
|  /(/(1(),#36()),+(#38(),#22()))  |     0.12    | 0.0836729339083 |
|   /(/(#38(),#38()),exp(#22()))   |     0.12    |  0.084151666721 |
|    /(+(1(),#38()),exp(#22()))    |     0.12    | 0.0843089587288 |
|  /(sqrt(#20()),*(#38(),#38()))   |    0.128    |  0.084330227576 |
| +(/(#36(),#20()),/(#20(),#38())) |    0.112    |  0.084363781369 |
|   /(log(#20()),+(#38(),#22()))   |    0.112    | 0.0844089395393 |
|  /(/(1(),#38()),+(#20(),#22()))  |     0.12    | 0.0845832269389 |
|  /(+(1(),#38()),+(#36(),#22()))  |    0.128    | 0.0845944881866 |
|   /(exp(#36()),+(#38(),#22()))   |     0.12    | 0.0846938160078 |
| /(/(#22(),#22()),+(#20(),#38())) |    0.136    | 0.0847275484467 |
|  /(/(#36(),#22()),sqrt(#20()))   |    0.112    | 0.0847873505522 |
| /(/(#22(),#22()),+(#36(),#38())) |    0.128    | 0.0848142186692 |
|  /(/(1(),#22()),+(#38(),#22()))  |     0.12    | 0.0848239648679 |
|  /(/(1(),#20()),+(#38(),#38()))  |    0.128    |  0.084852854942 |
| /(/(#22(),#38()),*(#22(),#22())) |    0.128    | 0.0848938775873 |
|  +(/(1(),#38()),/(#36(),#20()))  |    0.128    | 0.0848938775873 |
|  /(/(1(),#36()),+(#36(),#38()))  |    0.136    | 0.0849091752167 |
|    /(/(1(),#38()),exp(#36()))    |    0.128    | 0.0849268040432 |
|  *(/(1(),#38()),/(#38(),#22()))  |     0.12    | 0.0849302305022 |
| /(+(#36(),#20()),*(#22(),#22())) |    0.112    | 0.0850562755868 |
| /(/(#20(),#38()),+(#36(),#20())) |    0.128    | 0.0851040520069 |
|   /(exp(#38()),*(#38(),#22()))   |    0.136    | 0.0851235383068 |
